Institution,Object Number,Digital ID URL,Object Name,Title,Other Title,Other Title,Object Type,Secondary Object Type,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Date,Era,Era,Era,Era,Era,Collection,Collection,Collection,Collection,Collection,Collection,Collection,Collection,Collection,Description,Geography,Location,Location,Location,Location,Location,Location,Location,Location,Location,Location,Location,Location,Location,Location,Location,Copyright
Library of Congress,,https://www.loc.gov/item/2008675168/,,"Three Finger Brown, Chicago Cubs, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Brown, Three Finger (Team Member)",Chicago Cubs,Chicago,National League,Pitcher,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676916/,,"Phil Poland, Baltimore Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Poland, Phil (Team Member)",Baltimore,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676917/,,"Jimmy Slagle, Baltimore Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Slagle, Jimmy (Team Member)",Baltimore,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676918/,,"Sam Strang, Baltimore Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Strang, Sam (Team Member)",Baltimore,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676919/,,"Dave Brain, Buffalo Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Brain, Dave (Team Member)",Buffalo,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676920/,,"Fred Burchell, Buffalo Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Burchell, Fred (Team Member)",Buffalo,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676921/,,"Clancey, Buffalo Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Clancey, Bill (Team Member)",Buffalo,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676922/,,"Steamer Flanagan, Buffalo Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Flanagan, Steamer (Team Member)",Buffalo,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676923/,,"Rube Kissinger, Buffalo Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Kissinger, Rube (Team Member)",Buffalo,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676924/,,"Bill Malarkey, Buffalo Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Malarkey, Bill (Team Member)",Buffalo,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676925/,,"Billy Nattress, Buffalo Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Nattress, Billy (Team Member)",Buffalo,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675169/,,"G. Browne, Chicago Cubs, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Browne, George (Team Member)",Chicago Cubs,Chicago,National League,Outfielder,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676926/,,"George Schirm, Buffalo Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Schirm, George (Team Member)",Buffalo,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676927/,,"Heinie Smith, Buffalo Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Smith, Heinie (Team Member)",Buffalo,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676928/,,"Dummy Taylor, Buffalo Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Taylor, Dummy (Team Member)",Buffalo,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676929/,,"Jake White, Buffalo Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"White, Jake (Team Member)",Buffalo,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676930/,,"Clarke, Columbus Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Clarke, Josh (Team Member)",Columbus,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676931/,,"Bill Clymer, Columbus Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Clymer, Bill (Team Member)",Columbus,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676932/,,"Bunk Congalton, Columbus Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Congalton, Bunk (Team Member)",Columbus,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676933/,,"Ross Helm, Columbus Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Helm, Ross (Team Member)",Columbus,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676934/,,"Kruegar, Columbus Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Kruegar, Otto (Team Member)",Columbus,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676935/,,"Ossee Schreck, Columbus Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Schreck, Ossee (Team Member)",Columbus,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676936/,,"Jimmy Burke, Indianapolis Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Burke, Jimmy (Team Member)",Indianapolis,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676937/,,"Charley Carr, Indianapolis Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Carr, Charley (Team Member)",Indianapolis,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676938/,,"Monte Cross, Indianapolis Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Cross, Monte (Team Member)",Indianapolis,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676939/,,"Paul Davidson, Indianapolis Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Davidson, Paul (Team Member)",Indianapolis,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676940/,,"Jack Hayden, Indianapolis Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Hayden, Jack (Team Member)",Indianapolis,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676941/,,"Hannifin, Jersey City Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Hannifin, Jack (Team Member)",Jersey City,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676942/,,"George Merritt, Jersey City Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Merritt, George (Team Member)",Jersey City,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676943/,,"Bill Milligan, Jersey City Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Milligan, Bill (Team Member)",Jersey City,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676944/,,"Dan Moeller, Jersey City Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Moeller, Dan (Team Member)",Jersey City,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676945/,,"Jack Beckley, Kansas City Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Beckley, Jack (Team Member)",Kansas City,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675171/,,"Frank Chance, Chicago Cubs, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Chance, Frank (Team Member)",Chicago Cubs,Chicago,National League,First Baseman,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676946/,,"Brashear, Kansas City Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,Brashear (Team Member),Kansas City,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676947/,,"Gus Dorner, Kansas City Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Dorner, Gus (Team Member)",Kansas City,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676948/,,"Bill Hallman, Kansas City Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Hallman, Bill (Team Member)",Kansas City,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676949/,,"Carl Lundgren, Kansas City Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Lundgren, Carl (Team Member)",Kansas City,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676645/,,"Lou Ritter, Kansas City Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Ritter, Lou (Team Member)",Kansas City,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676646/,,"Spike Shannon, Kansas City Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Shannon, Spike (Team Member)",Kansas City,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676647/,,"Delahanty, Louisville Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Delahanty, F. (Team Member)",Louisville,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676648/,,"Puttman, Louisville Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,Puttman (Team Member),Louisville,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008676649/,,"Jake Thielman, Louisville Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Thielman, Jake (Team Member)",Louisville,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008677000/,,"Shad Barry, Milwaukee Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Barry, Shad (Team Member)",Milwaukee,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675170/,,"Frank Chance, Chicago Cubs, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Chance, Frank (Team Member)",Chicago Cubs,Chicago,National League,First Baseman,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008677001/,,"Dan Mcgann, Milwaukee Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Mcgann, Dan (Team Member)",Milwaukee,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008677002/,,"Stoney Mcglynn, Milwaukee Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Mcglynn, Stoney (Team Member)",Milwaukee,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008677003/,,"Newt Randall, Milwaukee Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,Randall Newt (Team Member),Milwaukee,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008677004/,,"Jim Collins, Minneapolis Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Collins, Jim (Team Member)",Minneapolis,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008677005/,,"Gavvy Cravath, Minneapolis Team, Baseball Card Portrait",White Borders (T206),,Memorabilia and Ephemera,Baseball Cards,American Tobacco Company,,,,,,,,,,,,"Cravath, Gavvy (Team Member)",Minneapolis,Minor League,Baseball Cards,Relief Prints,Color,,,,,,,,,,,,,,,1909,1900s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,"1 Print : Relief With Halftone, Color.",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
